,Condition,Cylinder heating zone 1,Cylinder heating zone 4,Maximum injection pressure,Mould temperature control unit 1,Cycle time,Cylinder heating zone 5,Injection time,Cylinder heating zone 2,Dosage time,Cylinder heating zone 3,Switch-over volume,Material cushion
47,Normal1,280.0,310.0,1549.01,90.0,28.874000000000002,315.1,0.23399999999999999,295.1,2.98,310.0,1.41334,0.9580850000000001
48,Normal1,280.0,309.9,1549.63,90.0,28.874000000000002,315.0,0.23399999999999999,295.1,2.9739999999999998,310.1,1.41334,0.956952
49,Normal1,280.1,310.0,1549.48,90.0,28.872,315.0,0.23399999999999999,295.1,2.9739999999999998,310.1,1.41334,0.9558200000000001
50,Conditon17,280.2,310.0,1747.49,90.0,28.824,315.1,0.19399999999999998,294.8,2.83,310.0,1.40655,0.90599
51,Conditon17,280.1,310.1,1749.2,90.0,28.824,315.0,0.19399999999999998,294.9,2.83,310.0,1.40655,0.917315
52,Conditon17,280.0,310.1,1746.25,90.0,28.824,315.0,0.19399999999999998,,,310.0,1.40655,0.9048579999999999
53,Conditon17,,310.1,1746.25,90.0,28.828000000000003,315.0,0.19399999999999998,294.9,2.852,310.1,1.40655,0.909388
54,Conditon17,279.9,310.1,1753.87,90.1,28.828000000000003,315.0,0.19399999999999998,294.9,2.864,310.0,1.4076799999999998,0.900328
55,Conditon17,279.8,,,90.0,28.826,315.1,0.19399999999999998,295.0,2.864,310.1,1.41334,0.900328
56,Conditon17,279.9,310.0,1773.14,90.0,28.826,315.1,,295.0,2.82,310.0,1.41334,0.900328
57,Conditon17,279.9,310.0,1740.97,90.0,28.82,315.0,0.19399999999999998,295.0,2.81,310.0,1.4054200000000001,0.900328
58,Conditon17,280.0,310.1,1740.97,90.0,28.824,315.0,0.19399999999999998,295.0,2.82,310.1,1.4054200000000001,0.90146
59,Conditon17,280.0,310.0,1751.69,90.0,28.824,315.0,0.19399999999999998,295.0,2.852,310.1,1.4054200000000001,0.9048579999999999
60,Conditon17,280.0,310.0,1747.96,90.0,28.824,315.1,0.19399999999999998,295.0,2.852,310.1,1.40655,0.90599
61,Conditon17,280.0,310.0,1740.97,90.0,28.824,315.1,0.19399999999999998,295.0,2.858,310.0,1.4054200000000001,0.902593
62,Conditon17,280.0,310.0,1745.01,90.0,28.824,315.1,0.19399999999999998,295.0,2.858,310.0,1.4054200000000001,0.902593
